title;link;author;date_published;image_url;content;category
 Cour de cassation: Le 1er président prend ses fonctions en trois actes;https://www.leconomiste.com/article/1075124-cour-de-cassation-le-1er-president-prend-ses-fonctions-en-trois-actes ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Justice
 Que Dit la Loi?;https://www.leconomiste.com/article/1075892-que-dit-la-loi ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Justice
 Que Dit la Loi?;https://www.leconomiste.com/article/1076175-que-dit-la-loi ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Justice
 Trafic de produits illicites: La Douane intensifie la traque;https://www.leconomiste.com/article/1122001-trafic-de-produits-illicites-la-douane-intensifie-la-traque ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Des Cours des comptes font alliance à Casablanca;https://www.leconomiste.com/article/1121998-des-cours-des-comptes-font-alliance-casablanca ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Le RCAR maintient son horizon de viabilité à 2052;https://www.leconomiste.com/article/1120442-le-rcar-maintient-son-horizon-de-viabilite-2052 ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Risque pays: Le Maroc conserve son rating;https://www.leconomiste.com/article/1121968-risque-pays-le-maroc-conserve-son-rating ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Fès: Franc succès pour la semaine du design de l’UPF;https://www.leconomiste.com/article/1120441-fes-franc-succes-pour-la-semaine-du-design-de-l-upf ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Nouvelle vie pour La Casablancaise des sports;https://www.leconomiste.com/article/1120497-nouvelle-vie-pour-la-casablancaise-des-sports ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Meknès: Cure de jouvence réussie pour le parc Lahboul;https://www.leconomiste.com/article/1120498-meknes-cure-de-jouvence-reussie-pour-le-parc-lahboul ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Oriental : L'ex-rugbyman Benazzi s'engage pour sa région;https://www.leconomiste.com/article/1120538-oriental-l-ex-rugbyman-benazzi-s-engage-pour-sa-region ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Recensement: Directives royales;https://www.leconomiste.com/article/1121819-recensement-directives-royales ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Tourisme: De l'art pour valoriser Saïdia;https://www.leconomiste.com/article/1119892-tourisme-de-l-art-pour-valoriser-saidia ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Industrie, énergie, automobile…: Les nouveaux projets feront décoller les IDE;https://www.leconomiste.com/article/1121820-industrie-energie-automobile-les-nouveaux-projets-feront-decoller-les-ide ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Eternel débat judiciaire sur la détention préventive;https://www.leconomiste.com/article/1121821-eternel-debat-judiciaire-sur-la-detention-preventive ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Management/Santé: Marrakech: Une chaire pour développer la recherche;https://www.leconomiste.com/article/1119907-management-sante-marrakech-une-chaire-pour-developper-la-recherche ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès veut rattraper ses retards;https://www.leconomiste.com/article/1119908-fes-veut-rattraper-ses-retards ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Industrie 4.0: L’université Euromed lance un projet d’usine-école;https://www.leconomiste.com/article/1119964-industrie-4-0-l-universite-euromed-lance-un-projet-d-usine-ecole ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Le festival des musiques sacrées promu à Madrid;https://www.leconomiste.com/article/1119965-le-festival-des-musiques-sacrees-promu-madrid ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Forêts: Un nouvel équipement pour l’industrie du liège;https://www.leconomiste.com/article/1121715-forets-un-nouvel-equipement-pour-l-industrie-du-liege ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Eaux de baignade: Les plages à éviter cet été;https://www.leconomiste.com/article/1121716-eaux-de-baignade-les-plages-eviter-cet-ete ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Fès: Grand-messe sur la refonte du système de santé;https://www.leconomiste.com/article/1121717-fes-grand-messe-sur-la-refonte-du-systeme-de-sante ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Oujda: Les ONG au front de la solidarité sociale;https://www.leconomiste.com/article/1118960-oujda-les-ong-au-front-de-la-solidarite-sociale ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès/Médina: Les parkings enfin ouverts au public;https://www.leconomiste.com/article/1118961-fes-medina-les-parkings-enfin-ouverts-au-public ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Trail international des steppes d’Alfa: Jerada, future fabrique de champions;https://www.leconomiste.com/article/1119000-trail-international-des-steppes-d-alfa-jerada-future-fabrique-de-champions ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Tourisme rural: Casa-Settat à la recherche de solutions innovantes;https://www.leconomiste.com/article/1119021-tourisme-rural-casa-settat-la-recherche-de-solutions-innovantes ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Législatives: Des élections partielles sous haute surveillance;https://www.leconomiste.com/article/1119022-fes-mairie-des-elections-partielles-sous-haute-surveillance ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Rabat: Les nouveaux abattoirs démarrent;https://www.leconomiste.com/article/1119067-rabat-les-nouveaux-abattoirs-demarrent ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Meknès/PDR Près de 30 milliards de DH pour 340 projets;https://www.leconomiste.com/article/1119129-fes-meknes-pdr-pres-de-30-milliards-de-dh-pour-340-projets ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 L'Oriental modernise 140 centres de santé;https://www.leconomiste.com/article/1119128-l-oriental-modernise-140-centres-de-sante ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Oujda mise sur le sport pour propulser sa jeunesse;https://www.leconomiste.com/article/1119214-oujda-mise-sur-le-sport-pour-propulser-sa-jeunesse ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Rabat: Les chantiers qui attendent la nouvelle maire;https://www.leconomiste.com/article/1118247-rabat-les-chantiers-qui-attendent-la-nouvelle-maire ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Meknès: Le CRI veut améliorer l’expérience investisseur;https://www.leconomiste.com/article/1118306-fes-meknes-le-cri-veut-ameliorer-l-experience-investisseur ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Marrakech: Agenda chargé pour Ramadan;https://www.leconomiste.com/article/1118368-marrakech-agenda-charge-pour-ramadan ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Oujda: Nouvelle unité de câblage à la technopole;https://www.leconomiste.com/article/1118385-oujda-nouvelle-unite-de-cablage-la-technopole ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès/Conseil communal: Trois plans d’aménagement à l’étude;https://www.leconomiste.com/article/1118543-fes-conseil-communal-trois-plans-d-amenagement-l-etude ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Meknès: «Une vision performante grâce à l’industrie du futur»;https://www.leconomiste.com/article/1118453-fes-meknes-une-vision-performante-grace-l-industrie-du-futur ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Meknès: Comment se relever de la crise?;https://www.leconomiste.com/article/1118454-fes-meknes-comment-se-relever-de-la-crise ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fès-Meknès/Agriculture: Les pluies de mars vont-elles sauver la campagne?;https://www.leconomiste.com/article/1118604-fes-meknes-agriculture-les-pluies-de-mars-vont-elles-sauver-la-campagne ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Rabat: Ouverture imminente du marché Dar Essalam;https://www.leconomiste.com/article/1118603-rabat-ouverture-imminente-du-marche-dar-essalam ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Investissement: Marrakech-Safi a toujours la cote!;https://www.leconomiste.com/article/1118602-investissement-marrakech-safi-toujours-la-cote ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Fraudes alimentaires: Des saisies record dans l’Oriental;https://www.leconomiste.com/article/1118605-fraudes-alimentaires-des-saisies-record-dans-l-oriental ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Oujda sensibilise aux défis de l’eau;https://www.leconomiste.com/article/1118663-oujda-sensibilise-aux-defis-de-l-eau ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
 Immobilier: Légère augmentation des prix, encore;https://www.leconomiste.com/article/1121465-immobilier-legere-augmentation-des-prix-encore ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Investissement: Akhannouch croise le fer avec les députés;https://www.leconomiste.com/article/1121466-investissement-akhannouch-croise-le-fer-avec-les-deputes ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Commission d’accès à l’information: Le MP veut élargir les attributions;https://www.leconomiste.com/article/1121494-commission-d-acces-l-information-le-mp-veut-elargir-les-tributions ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Dessalement: Le prince Moulay El Hassan lance la plus grande station d’Afrique!;https://www.leconomiste.com/article/1121467-dessalement-le-prince-moulay-el-hassan-lance-la-plus-grande-station-d-afrique ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 Investissements: Les réponses du tac au tac d’Akhannouch;https://www.leconomiste.com/article/1121518-investissements-les-reponses-du-tac-au-tac-d-akhannouch ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Economie
 A défaut de mieux…;https://www.leconomiste.com/article/1117735-defaut-de-mieux ;;08/07/2024;https://www.leconomiste.com/sites/all/themes/eco7_vf/images/logo2024.png;;Régions
